privacy_key,name,parent_key,description
WBS 6: 1.11 비탈면녹화,,,
WBS 7: a. 쌓기부,,WBS 6: 1.11 비탈면녹화,
WBS 8: a-1. 종자뿜어붙이기,,WBS 7: a. 쌓기부,
WBS 8: a-2. 종자뿜어붙이기(화강풍화토),,WBS 7: a. 쌓기부,
WBS 8: a-3. 종자뿜어붙이기+거적덮기,,WBS 7: a. 쌓기부,
WBS 8: a-4. 종자뿜어붙이기+거적덮기(화강풍화토),,WBS 7: a. 쌓기부,
WBS 8: a-5. 줄떼,,WBS 7: a. 쌓기부,
WBS 7: b. 깎기부(토사),,WBS 6: 1.11 비탈면녹화,
WBS 8: b-1. 종자뿜어붙이기,,WBS 7: b. 깎기부(토사),
WBS 8: b-2. 종자뿜어붙이기(화강풍화토),,WBS 7: b. 깎기부(토사),
WBS 8: b-3. 종자뿜어붙이기+거적덮기,,WBS 7: b. 깎기부(토사),
WBS 8: b-4. 종자뿜어붙이기+거적덮기(화강풍화토),,WBS 7: b. 깎기부(토사),
WBS 8: b-5. 식생기반재뿜어붙이기,,WBS 7: b. 깎기부(토사),
WBS 9: b-5-1. T=1cm,,WBS 8: b-5. 식생기반재뿜어붙이기,
WBS 9: b-5-2. T=2cm,,WBS 8: b-5. 식생기반재뿜어붙이기,
WBS 9: b-5-3. T=3cm,,WBS 8: b-5. 식생기반재뿜어붙이기,
WBS 9: b-5-4. T=5cm,,WBS 8: b-5. 식생기반재뿜어붙이기,
WBS 8: b-6. 평떼,,WBS 7: b. 깎기부(토사),
WBS 7: c. 깎기부(리핑암),,WBS 6: 1.11 비탈면녹화,
WBS 8: c-1. 종자뿜어붙이기,,WBS 7: c. 깎기부(리핑암),
WBS 8: c-2. 식생기반재뿜어붙이기,,WBS 7: c. 깎기부(리핑암),
WBS 9: c-2-1. T=1cm,,WBS 8: c-2. 식생기반재뿜어붙이기,
WBS 9: c-2-2. T=3cm,,WBS 8: c-2. 식생기반재뿜어붙이기,
WBS 9: c-2-3. T=5cm,,WBS 8: c-2. 식생기반재뿜어붙이기,
WBS 9: c-2-4. T=7cm,,WBS 8: c-2. 식생기반재뿜어붙이기,
WBS 7: d. 깎기부(발파암),,WBS 6: 1.11 비탈면녹화,
WBS 8: d-1.종자뿜어붙이기,,WBS 7: d. 깎기부(발파암),
WBS 8: d-2. 식생기반재뿜어붙이기,,WBS 7: d. 깎기부(발파암),
WBS 9: d-2-1. T=5cm,,WBS 8: d-2. 식생기반재뿜어붙이기,
WBS 9: d-2-2. T=10cm,,WBS 8: d-2. 식생기반재뿜어붙이기,
WBS 9: d-2-3. T=15cm,,WBS 8: d-2. 식생기반재뿜어붙이기,
WBS 7: e. 비탈면 현황도 작성,,WBS 6: 1.11 비탈면녹화,
"WBS 8: e-1. A≤1,000㎡",,WBS 7: e. 비탈면 현황도 작성,
"WBS 8: e-2. Aunder3,000㎡",,WBS 7: e. 비탈면 현황도 작성,
"WBS 8: e-3. Aover3,000㎡",,WBS 7: e. 비탈면 현황도 작성,
WBS 7: f. 비탈면 전문인력,,WBS 6: 1.11 비탈면녹화,
WBS 6: 1.12 비탈면 고르기,,,
WBS 7: a. 토사,,WBS 6: 1.12 비탈면 고르기,
WBS 7: b. 리핑암,,WBS 6: 1.12 비탈면 고르기,
WBS 7: c. 발파암,,WBS 6: 1.12 비탈면 고르기,
WBS 8: c-1. 일반부,,WBS 7: c. 발파암,
WBS 8: c-2. 확장부,,WBS 7: c. 발파암,
WBS 8: c-3. 미진동발파,,WBS 7: c. 발파암,
WBS 8: c-4. 무진동발파,,WBS 7: c. 발파암,
WBS 8: c-5. 진동제어발파,,WBS 7: c. 발파암,
WBS 6: 1.13 콘크리트 기성제품,,,
WBS 7: a. 격자블럭,,WBS 6: 1.13 콘크리트 기성제품,
WBS 8: a-1. 인력,,WBS 7: a. 격자블럭,
WBS 9: a-1-1. Sover1:1.5,,WBS 8: a-1. 인력,
WBS 9: a-1-2. 1:1.0≤Sunder1:1.5,,WBS 8: a-1. 인력,
WBS 9: a-1-3. Sunder1:1.0,,WBS 8: a-1. 인력,
WBS 8: a-2. 기계,,WBS 7: a. 격자블럭,
WBS 9: a-2-1. Sover1:1.5,,WBS 8: a-2. 기계,
WBS 9: a-2-2. 1:1.0≤Sunder1:1.5,,WBS 8: a-2. 기계,
WBS 9: a-2-3. Sunder1:1.0,,WBS 8: a-2. 기계,
WBS 8: a-3. 블록고정용말뚝,,WBS 7: a. 격자블럭,
WBS 7: b. 호안블럭,,WBS 6: 1.13 콘크리트 기성제품,
WBS 8: b-1. 인력,,WBS 7: b. 호안블럭,
WBS 8: b-2. 기계,,WBS 7: b. 호안블럭,
WBS 6: 1.14 P.E 제품,,,
WBS 7: a. PE 법면보호블록 설치,,WBS 6: 1.14 P.E 제품,
WBS 7:  ,,WBS 6: 1.14 P.E 제품,
WBS 8: a-1. S=1:1.0이상~1:1.5,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.14 P.E 제품,
WBS 8: a-2. S=1:1.5초과,,WBS 7:  ,
WBS 6: 1.15 ROCK ANCHOR,,,
WBS 7: a. 영구지압형 ,,WBS 6: 1.15 ROCK ANCHOR,
WBS 8: a-1. 천공 ,,WBS 7: a. 영구지압형 ,
WBS 8:  ,,WBS 7: a. 영구지압형 ,
WBS 9: a-1-1. D=127mm,,WBS 8:  ,
WBS 8:  ,,WBS 7: a. 영구지압형 ,
WBS 10: a-1-1-1. 토사,,WBS 9: a-1-1. D=127mm,
WBS 8:  ,,WBS 7: a. 영구지압형 ,
WBS 10: a-1-1-2. 리핑암,,WBS 9: a-1-1. D=127mm,
WBS 8:  ,,WBS 7: a. 영구지압형 ,
WBS 10: a-1-1-3. 발파암,,WBS 9: a-1-1. D=127mm,
WBS 8:  ,,WBS 7: a. 영구지압형 ,
WBS 9: a-1-2. D=115mm,,WBS 8:  ,
WBS 8:  ,,WBS 7: a. 영구지압형 ,
WBS 10: a-1-2-1. 토사,,WBS 9: a-1-2. D=115mm,
WBS 10: a-1-2-2. 리핑암,,WBS 9: a-1-2. D=115mm,
WBS 10: a-1-2-3. 발파암,,WBS 9: a-1-2. D=115mm,
WBS 8: a-2. 영구앵커체 D12.7mm,,WBS 7: a. 영구지압형 ,
WBS 8: a-3. PE코팅 복합강연선 D12.7mm,,WBS 7: a. 영구지압형 ,
WBS 8: a-4. 두부설치 및 인장,,WBS 7: a. 영구지압형 ,
WBS 8: a-5. 그라우팅,,WBS 7: a. 영구지압형 ,
WBS 8: a-6. 격자블럭 제작 및 설치,,WBS 7: a. 영구지압형 ,
WBS 8: a-7. 장비조립및해체,,WBS 7: a. 영구지압형 ,
WBS 7: b. 가설지압형 ,,WBS 6: 1.15 ROCK ANCHOR,
WBS 8: b-1. 천공,,WBS 7: b. 가설지압형 ,
WBS 8:  ,,WBS 7: b. 가설지압형 ,
WBS 9: b-1-1. 풍화암,,WBS 8:  ,
WBS 8:  ,,WBS 7: b. 가설지압형 ,
WBS 9: b-1-2. 발파암,,WBS 8:  ,
WBS 8: b-2. PC강선 조립및 삽입,,WBS 7: b. 가설지압형 ,
WBS 8: b-3. 그라우팅,,WBS 7: b. 가설지압형 ,
WBS 8: b-4. PC콘 조립및 인장,,WBS 7: b. 가설지압형 ,
WBS 8: b-5. 지압판 및 브리켓 제작설치,,WBS 7: b. 가설지압형 ,
WBS 8: b-6. 보호콘크리트타설,,WBS 7: b. 가설지압형 ,
WBS 8: b-7. 격자블럭 제작 및 설치,,WBS 7: b. 가설지압형 ,
WBS 8: b-8. 장비 조립 및 해체,,WBS 7: b. 가설지압형 ,
WBS 6: 1.16 ROCK BOLT,,,
WBS 7: a. 천공,,WBS 6: 1.16 ROCK BOLT,
WBS 7:  ,,WBS 6: 1.16 ROCK BOLT,
WBS 8: a-1. 연암,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.16 ROCK BOLT,
WBS 8: a-2. 경암,,WBS 7:  ,
WBS 7: b. 그라우팅,,WBS 6: 1.16 ROCK BOLT,
WBS 7: c. ROCK BOLT,,WBS 6: 1.16 ROCK BOLT,
WBS 7:  ,,WBS 6: 1.16 ROCK BOLT,
WBS 8: c-1. L=4m,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.16 ROCK BOLT,
WBS 8: c-2. L=5m,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.16 ROCK BOLT,
WBS 8: c-3. L=6m,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.16 ROCK BOLT,
WBS 8: c-4. L=7m,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.16 ROCK BOLT,
WBS 8: c-5. L=8m,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.16 ROCK BOLT,
WBS 8: c-6. L=9m,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.16 ROCK BOLT,
WBS 8: c-7. L=10m,,WBS 7:  ,
WBS 7: d. 장비조립 및 해체,,WBS 6: 1.16 ROCK BOLT,
WBS 6: 1.17 NAILING공,,,
WBS 7: a. 천공,,WBS 6: 1.17 NAILING공,
WBS 7:  ,,WBS 6: 1.17 NAILING공,
WBS 8: a-1. 토사,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.17 NAILING공,
WBS 8: a-2. 풍화암,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.17 NAILING공,
WBS 8: a-3. 연암,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.17 NAILING공,
WBS 8: a-4. 경암,,WBS 7:  ,
WBS 7: b. 그라우팅,,WBS 6: 1.17 NAILING공,
WBS 7: c. 가압식 nailing,,WBS 6: 1.17 NAILING공,
WBS 7:  ,,WBS 6: 1.17 NAILING공,
WBS 8: c-1. NAIL설치,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.17 NAILING공,
WBS 8: c-2. 정착판,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.17 NAILING공,
WBS 8: c-3. 패커설치,,WBS 7:  ,
WBS 7: d. 중력식 nailing,,WBS 6: 1.17 NAILING공,
WBS 7:  ,,WBS 6: 1.17 NAILING공,
WBS 8: d-1. NAIL설치,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.17 NAILING공,
WBS 8: d-2. 정착판,,WBS 7:  ,
WBS 7:  ,,WBS 6: 1.17 NAILING공,
WBS 8: d-3. 패커설치,,WBS 7:  ,
WBS 7: e. 장비조립및해체,,WBS 6: 1.17 NAILING공,
WBS 6: 1.18 EARTH ANCHOR,,,
WBS 7: a. 영구지압형,,WBS 6: 1.18 EARTH ANCHOR,
WBS 7:  ,,WBS 6: 1.18 EARTH ANCHOR,
WBS 8: a-1. 천공,,WBS 7:  ,
WBS 8:  ,,WBS 7:  ,
WBS 9: a-1-1. D=127mm,,WBS 8:  ,
WBS 8:  ,,WBS 7:  ,
WBS 10: a-1-1-1. 토사,,WBS 9: a-1-1. D=127mm,
WBS 8:  ,,WBS 7:  ,
WBS 10: a-1-1-2. 리핑암,,WBS 9: a-1-1. D=127mm,
WBS 8:  ,,WBS 7:  ,
WBS 10: a-1-1-3. 발파암,,WBS 9: a-1-1. D=127mm,
WBS 8:  ,,WBS 7:  ,
WBS 9: a-1-2. D=115mm,,WBS 8:  ,
WBS 8:  ,,WBS 7:  ,
WBS 10: a-1-2-1. 토사,,WBS 9: a-1-2. D=115mm,
WBS 10: a-1-2-2. 리핑암,,WBS 9: a-1-2. D=115mm,
WBS 10: a-1-2-3. 발파암,,WBS 9: a-1-2. D=115mm,
WBS 7:   ,,WBS 6: 1.18 EARTH ANCHOR,
WBS 8: a-2. 영구앵커체 (D12.7mm),,WBS 7:   ,
WBS 7:  ,,WBS 6: 1.18 EARTH ANCHOR,
WBS 8:  ,,WBS 7:  ,
WBS 9: a-2-1. L=10.0m 기준,,WBS 8:  ,
WBS 7:  ,,WBS 6: 1.18 EARTH ANCHOR,
WBS 8:  ,,WBS 7:  ,
WBS 9: a-2-2. L=10.5m 기준,,WBS 8:  ,
WBS 7:  ,,WBS 6: 1.18 EARTH ANCHOR,
WBS 8:  ,,WBS 7:  ,
